id_siniestro,valor_real,valor_predicho,probabilidad_fatal
LC-2022-0282764,0,0,0.12306959555736319
LC-2024-0382716,0,0,0.0002756423486435253
LC-2021-0041308,0,0,0.05855612656871566
LC-2019-0209211,0,0,0.021508472729405658
LC-2019-0451358,0,0,0.005231831910761603
HC-2023-0267237,1,0,0.4784333369739975
LC-2023-0166019,0,0,0.06773639311644754
LC-2023-0528891,0,0,0.06321050607295882
LC-2024-0358001,0,0,0.07333098842476983
LC-2025-0264111,0,0,0.006111864048689506
LC-2025-0200318,0,0,0.04915550232299552
LC-2022-0440480,0,0,0.09711159314362858
LC-2024-0168443,0,0,0.008660191419452196
LC-2020-0095074,0,0,0.009446628120290906
LC-2022-0505362,0,0,0.06010483944809155
LC-2022-0685774,0,0,0.12364446875692137
LC-2022-0299019,0,0,0.0
LC-2022-0398741,0,0,0.019064925130930107
LC-2020-0125989,0,0,0.037371879806884695
LC-2020-0463780,0,0,0.014345612572444546
LC-2021-0549780,0,0,0.0
LC-2019-0565386,0,0,0.0353447346025039
LC-2025-0412204,0,0,0.08311424963124313
LC-2023-0099906,0,0,0.10452781266472616
LC-2025-0663973,0,0,0.010945638584176418
LC-2021-0472725,0,0,0.00860680712764719
LC-2024-0352704,0,0,0.174354631094632
LC-2023-0374287,0,0,0.012296742566926868
LC-2020-0492533,0,0,0.026326120944567
LC-2022-0395866,0,0,0.02047984369286233
LC-2019-0113264,0,0,0.04422265680915602
LC-2022-0441446,0,0,0.04302904563666263
LC-2024-0341389,0,0,0.6063499566591618
LC-2025-0370679,0,0,0.1073701337553472
LC-2019-0114499,0,0,0.03686801653321883
LC-2019-0017460,0,0,0.04446363813853237
LC-2025-0652512,0,0,0.19976275114776654
LC-2023-0631959,0,0,0.18797468755775074
LC-2025-0455811,0,0,0.1857188069496754
LC-2021-0619416,0,0,0.004700513337525016
LC-2022-0052495,0,0,0.08543760550101005
LC-2021-0216071,0,0,0.16267516776722155
LC-2023-0251569,0,0,0.028920377759451568
LC-2025-0851016,0,0,0.042737169173246554
LC-2021-0388902,0,0,0.2040455169153238
LC-2024-0057982,0,0,0.08072947293603322
LC-2024-0252449,0,0,0.1765786353981088
LC-2023-0500798,0,0,0.16089090564830427
LC-2022-0356935,0,0,0.012580609877805467
LC-2025-0306158,0,0,0.01980087783907121
LC-2024-0730485,0,0,0.0045423550582054315
LC-2019-0680834,0,0,0.004972438342022316
LC-2025-0909994,0,0,0.10199418634302711
LC-2022-0258122,0,0,0.009838310079505632
LC-2024-0685606,0,0,0.04639790776135953
LC-2022-0013326,0,0,0.13153371680036932
LC-2019-0199211,0,0,0.07710460740822342
LC-2023-0523105,0,0,0.23166756504872685
LC-2024-0723493,0,0,0.12108288957091855
LC-2023-0033452,0,0,0.10804986393450687
LC-2019-0721255,0,0,0.011643259770306634
LC-2021-0134659,0,0,0.3614167964330213
LC-2024-0485139,0,0,0.014832589451608903
LC-2025-0385495,0,0,0.008620460674023207
LC-2024-0627268,0,0,0.10089871455133219
LC-2025-0540936,0,0,0.03397954122457601
LC-2025-0791543,0,0,0.017733865775136314
LC-2024-0277547,0,0,0.004684329487894982
LC-2019-0683207,0,0,0.05335011630075826
LC-2025-0746821,0,0,0.2981542197446337
HC-2019-0689068,1,0,0.5739575115532003
LC-2024-0754581,0,0,0.6829322316300283
LC-2019-0702044,0,0,0.05834540559400865
LC-2024-0002845,0,0,0.009298834986036954
LC-2019-0163130,0,0,0.011601244671440507
LC-2020-0135603,0,0,0.06209214481100802
LC-2021-0533053,0,1,0.0016073247417181585
LC-2025-0774913,0,0,0.04239221577583228
LC-2025-0355881,0,0,0.07291800919260762
LC-2025-0169696,0,0,0.03556676748383198
LC-2019-0685728,0,0,0.036944800832804436
LC-2024-0268898,0,0,0.43272830876509977
LC-2019-0114487,0,0,0.014845814695438412
LC-2022-0287007,0,0,0.3547860522387247
LC-2019-0262643,0,0,0.039704011461400485
LC-2021-0028599,0,0,0.1096922103315625
LC-2025-0264102,0,0,0.052274532159021704
LC-2025-0699136,0,0,0.006290268972742871
LC-2025-0778742,0,0,0.01796091542002752
LC-2024-0600552,0,0,0.0006384404814127712
LC-2025-0430965,0,0,0.024072140406337306
LC-2022-0609806,0,0,0.13913369446732
LC-2019-0499310,0,1,0.035985482136120496
LC-2025-0736737,0,0,0.0239320937425129
LC-2024-0125136,0,0,0.010393352971241505
LC-2020-0233617,0,0,0.1080258673433057
LC-2022-0156563,0,0,0.09283497248342126
LC-2025-0333124,0,0,0.27318166892674134
LC-2024-0122433,0,0,0.165517382858144
LC-2019-0209901,0,0,0.3699761294600556
LC-2025-0218586,0,0,0.0073665909503728534
LC-2021-0394824,0,0,0.10369529850437263
LC-2019-0020183,0,0,0.012115070779886328
LC-2021-0636510,0,0,0.0002756423486435253
LC-2025-0767861,0,0,0.19151807392004852
LC-2023-0728361,0,0,0.029841566899923202
LC-2021-0527697,0,0,0.34085699416717263
LC-2024-0182636,0,0,0.0314871325657925
LC-2025-0804938,0,0,0.01849723395228381
LC-2024-0336744,0,0,0.1493839970536241
LC-2024-0583225,0,0,0.09040884760749082
LC-2025-0192027,0,0,0.451970044422003
LC-2020-0153437,0,0,0.09899723533985899
LC-2021-0609514,0,0,0.2919880143961471
LC-2025-0835867,0,0,0.024627571839471174
LC-2022-0106147,0,0,0.12671804405751616
LC-2022-0348199,0,0,0.15426604593371884
LC-2022-0266492,0,0,0.08257458392948445
LC-2024-0766846,0,0,0.2005808879043223
LC-2025-0503208,0,0,0.04785176231401905
LC-2025-0011418,0,0,0.08830417104567541
LC-2020-0456535,0,0,0.3241772532178572
LC-2024-0326949,0,0,0.04635567659904485
LC-2023-0295963,0,0,0.045164929857918146
LC-2025-0945064,0,0,0.14376271129220464
LC-2022-0518182,0,0,0.01450133404694798
LC-2021-0624393,0,0,0.02045763484392032
LC-2020-0560678,0,0,0.0004974535177467124
LC-2025-0894424,0,0,0.21953237044389493
LC-2020-0642667,0,0,0.10997234097185611
LC-2019-0679470,0,0,0.012035423712999512
LC-2022-0221839,0,0,0.1153141615056067
LC-2019-0518724,0,0,0.04709264978314623
LC-2024-0214387,0,0,0.14935131863182247
LC-2021-0071837,0,0,0.0795262935044792
LC-2022-0685794,0,0,0.10642164292084708
LC-2023-0514570,0,0,0.05011903142417959
LC-2021-0542746,0,0,0.05076404040056846
LC-2024-0107904,0,0,0.0029280535011519783
LC-2025-0038198,0,0,0.057815536257389714
LC-2022-0050895,0,0,0.6187765633405733
LC-2022-0381638,0,0,0.10582074865812752
LC-2021-0607191,0,0,0.08816510309595145
LC-2024-0614733,0,0,0.0054552726706162315
LC-2024-0130716,0,0,0.2657319666112411
LC-2025-0748550,0,0,0.11032028561909145
LC-2023-0094995,0,0,0.014255756390658443
LC-2024-0491613,0,0,0.12610855193541667
LC-2019-0064484,0,0,0.029018085338970958
LC-2022-0469016,0,0,0.3011988384518944
LC-2019-0562321,0,0,0.01682778256369673
LC-2023-0581836,0,0,0.01799841983671467
LC-2021-0601261,0,0,0.17787811458053515
LC-2019-0434543,0,0,0.019725621785904642
